Node ID	PageRank score
n76	0.006301771517555757	
n167	0.006300489600089257	
n50	0.006231117219879651	
n158	0.006187519954987013	
n6	0.006173199354744111	
n193	0.006020005606164439	
n66	0.005999747857810378	
n197	0.005990297074509708	
n194	0.00596709022864136	
n28	0.005945688811229877	
n8	0.005943668382526584	
n128	0.005900999834066128	
n124	0.005883990166521336	
n74	0.005842069852568282	
n123	0.00580806798122222	
n104	0.005756709828521507	
n37	0.005734575933100444	
n137	0.0057130709054570225	
n33	0.005701488798484736	
n105	0.005696239320934724	
n39	0.005655892513934492	
n81	0.005652123645683555	
n86	0.005627593715939075	
n190	0.005623648733231285	
n170	0.005604173021008115	
n0	0.0055644572186617	
n163	0.0055547615003224944	
n49	0.005547102102948644	
n121	0.005524168057376068	
n27	0.005517099992364397	
n30	0.005471320311375876	
n161	0.005468082775136365	
n90	0.0054678192348249135	
n45	0.005465476298724922	
n21	0.005450808805452232	
n64	0.005435282188180286	
n7	0.005422117951643093	
n14	0.005420264093494357	
n150	0.00540034435801985	
n189	0.00539097606360421	
n166	0.005385883718025372	
n46	0.00538491594535085	
n211	0.005363636379893804	
n113	0.005311795339676776	
n57	0.005310076534102884	
n168	0.005305004125463753	
n62	0.005295141328980945	
n12	0.0052872747299509614	
n83	0.005278118245956521	
n145	0.005257405890210694	
n11	0.005257248839672412	
n93	0.005224438679391556	
n13	0.0052123315797332065	
n48	0.005209816137676097	
n199	0.005184457005026411	
n54	0.005179460885666983	
n102	0.005170200385318245	
n171	0.0051658325334221575	
n134	0.005161656180727404	
n119	0.005148510485685057	
n73	0.00513646292632314	
n206	0.005115368020252937	
n186	0.005090937496550827	
n23	0.005085474315727575	
n182	0.00507819987574166	
n43	0.005076085262536485	
n41	0.0050711851161191375	
n106	0.00507021130454496	
n22	0.005043901605537028	
n35	0.005031167426532043	
n116	0.00501152998813551	
n115	0.004987572975393591	
n176	0.004974436380239208	
n75	0.004971759224393975	
n112	0.004967194696804022	
n18	0.004965317646020473	
n53	0.004959124691333295	
n179	0.004908992807621608	
n142	0.004890854256066681	
n38	0.0048873752100796084	
n91	0.004883282859641946	
n58	0.004858948187050284	
n127	0.004846726532854895	
n19	0.004836777293993611	
n131	0.004822661252499407	
n61	0.004815398749765726	
n169	0.004810555449354394	
n154	0.004802484558404972	
n55	0.004799648613998002	
n151	0.004790578433255999	
n44	0.004773056316432248	
n164	0.0047667230431373145	
n89	0.00476347331100415	
n63	0.004742498151192977	
n29	0.004740992137650936	
n132	0.0047316512537009525	
n31	0.004719453358249539	
n191	0.004716272160843171	
n110	0.004708055804860494	
n120	0.0047077040362887785	
n136	0.004706496317439675	
n40	0.004686503174707985	
n68	0.004685299834050127	
n129	0.00468353096602176	
n32	0.004676487006046764	
n108	0.0046744384392379814	
n181	0.004666111446103288	
n122	0.004658924630804554	
n72	0.004634072616029632	
n172	0.004628592846791025	
n165	0.004621123856392398	
n133	0.004619481837790878	
n60	0.004614260756647218	
n2	0.004603192244676055	
n184	0.004593758766475641	
n99	0.004590590150879546	
n34	0.004582530234307781	
n10	0.004576937019569316	
n47	0.004567551488405828	
n149	0.004563537345158728	
n183	0.004545194530583933	
n5	0.004543166237222261	
n36	0.004537161465825392	
n79	0.004534966964880359	
n111	0.004529271329361813	
n139	0.004516395415547954	
n3	0.004486341896575788	
n144	0.004470909320913393	
n94	0.004456260154988022	
n203	0.004453143359966461	
n178	0.004447468866781484	
n185	0.004445763741937368	
n208	0.004443508981949796	
n117	0.00444269455995605	
n4	0.004435738357076622	
n95	0.004433349737987965	
n160	0.004430893757948566	
n15	0.004430279926031984	
n159	0.0044248866698288125	
n97	0.004402242768976519	
n24	0.004399740627153386	
n52	0.00437573844381336	
n88	0.0043710277227524946	
n146	0.004362202376623714	
n59	0.004344529299063051	
n173	0.00434230387078353	
n92	0.004304442248661615	
n204	0.004301273892344525	
n70	0.004301184858776017	
n130	0.004290344726437728	
n107	0.004267848575737318	
n20	0.004265532877889169	
n16	0.00425466176395805	
n1	0.004252463105111452	
n109	0.004251348044754081	
n205	0.004236253545708903	
n209	0.004218825312861911	
n153	0.00420272983624167	
n114	0.004195829114346891	
n71	0.0041929961993655155	
n26	0.004185790258260022	
n155	0.004178162611530614	
n80	0.004169286474306192	
n103	0.004166606819376015	
n152	0.004164344958236545	
n135	0.004157766335189229	
n156	0.0040764804661109644	
n51	0.004069241108779834	
n138	0.004068393078584726	
n77	0.004065867387278529	
n98	0.00405466653636399	
n210	0.004052704036415881	
n180	0.00404543550268761	
n196	0.004027822624623619	
n201	0.004023735069268998	
n202	0.003998600223169475	
n87	0.003996436185993017	
n100	0.003985348852159498	
n177	0.003983710960622965	
n17	0.0039740971533829775	
n101	0.0039679194237305215	
n118	0.003963464163388917	
n78	0.003921326106670179	
n195	0.003906379215314625	
n157	0.003885385345007005	
n207	0.0038842948584396127	
n174	0.003881825974192622	
n141	0.0038374176559190106	
n82	0.0038101641641231326	
n9	0.0038032269172439477	
n69	0.0037986135456508567	
n143	0.0037832714902253325	
n65	0.0037584713446307955	
n147	0.003753987559684995	
n188	0.003751066131331374	
n126	0.00372615684868688	
n96	0.0037051909494429406	
n187	0.003682918742410412	
n42	0.003635499426376804	
n67	0.0035549109335356282	
n175	0.003537765640501915	
n85	0.0035235517124099502	
n84	0.0035058402085653573	
n200	0.0035024429182041513	
n162	0.003498593854183434	
n198	0.003444892200394284	
n140	0.0034275595773257442	
n212	0.003376168565225981	
n192	0.0033585510799333867	
n25	0.0033450005554969556	
n148	0.003338916950060927	
n56	0.0032648914338941192	
n125	0.0032308839101902885	
