Node ID	PageRank score
n58	0.040028859166725696	
n59	0.03671919860060762	
n15	0.02970455523730887	
n51	0.02752024251330323	
n50	0.025201510548018714	
n26	0.022764407729366887	
n14	0.022677932038643864	
n2	0.021375420757577562	
n52	0.020896603226779872	
n64	0.020297173563209567	
n4	0.0202824661769063	
n11	0.020223197046268584	
n5	0.01913737539448272	
n62	0.01911508292276856	
n17	0.018759016603377046	
n32	0.018407042945945893	
n53	0.018079011171479944	
n12	0.01803702208096327	
n22	0.017932541710942808	
n37	0.01719251059078077	
n33	0.016987417328804186	
n19	0.01659475663919349	
n3	0.016288894050742873	
n35	0.01601156710477897	
n18	0.015580374796541941	
n9	0.01507885903913212	
n10	0.014841874548336168	
n23	0.014721733797097495	
n25	0.014257500616655875	
n1	0.013838390658610962	
n20	0.013781544601319553	
n56	0.013732050578376237	
n40	0.01357025843565781	
n47	0.013402092995679517	
n6	0.01339614198603211	
n34	0.013325552459207411	
n57	0.013040724625006887	
n55	0.0130111038533245	
n21	0.012734409514730193	
n49	0.012548744180554202	
n60	0.01249458934933326	
n48	0.012448507258125987	
n41	0.012400921145334058	
n31	0.01214702879038343	
n45	0.012139219077909569	
n29	0.011927498564098879	
n44	0.011685621415490413	
n16	0.01164140967011517	
n0	0.011542744321582346	
n61	0.011456815635068228	
n36	0.011378668466899292	
n54	0.011297269042344982	
n38	0.010958178592995062	
n30	0.010930275171287931	
n28	0.010662411751226434	
n39	0.010641713184856428	
n43	0.010638149001684642	
n42	0.010331493472106134	
n27	0.009661099167586808	
n7	0.00907501455527918	
n46	0.008801237025903167	
n8	0.00876510825084428	
n63	0.0078056407321957615	
n13	0.005121540662083891	
n24	0.0029526838600243688	
