Node ID	PageRank score
n410	0.02889344322641723	
n404	0.028678730277979257	
n416	0.028230753143266812	
n418	0.025929662262749988	
n124	0.024417945838124795	
n136	0.02338633591491192	
n58	0.02248289694640714	
n5	0.01890908142087843	
n417	0.018740919462566775	
n281	0.018221499320736908	
n128	0.01702866789936334	
n127	0.016935155592130807	
n280	0.015284973996029749	
n123	0.014994305712987517	
n134	0.014808296089998306	
n279	0.014667822841513498	
n70	0.014509000731113164	
n133	0.013315346040984166	
n131	0.012413607170003787	
n371	0.01192796165017067	
n72	0.011590169888650137	
n71	0.011460258476119504	
n17	0.011337451246875858	
n130	0.011210955007166434	
n129	0.010991088105416016	
n57	0.01059827089914501	
n35	0.010416969375118731	
n132	0.010358348857034069	
n125	0.009918390110699858	
n397	0.009851109868772467	
n18	0.009662748082279054	
n411	0.00959725735215994	
n106	0.009369238764770863	
n330	0.00922987923472325	
n126	0.008996236379238489	
n319	0.008986036151816985	
n101	0.008773393372694607	
n328	0.008651159428613546	
n327	0.008511109618636452	
n326	0.008454287081501194	
n396	0.00841828492912752	
n305	0.008288558070701179	
n320	0.00824873192819542	
n306	0.008215877630225833	
n329	0.00821237961418557	
n113	0.008052635105214902	
n19	0.007778410970083424	
n318	0.0075472130362091595	
n91	0.007359029575772084	
n108	0.006468986811745556	
n390	0.006019983289046082	
n392	0.005873755031155104	
n395	0.005195486860013943	
n393	0.0051914842297419135	
n13	0.004955998365148381	
n304	0.004584778969744955	
n388	0.004559260277721885	
n315	0.004422350118010692	
n69	0.004022373679906093	
n109	0.004017529477386203	
n316	0.003933939471203855	
n107	0.0038575645084406047	
n105	0.0038541375180378506	
n317	0.0036570594822578325	
n14	0.003603149127504535	
n118	0.003553542873838566	
n104	0.002960171488391684	
n33	0.0029011091562032706	
n403	0.0026663985348006594	
n121	0.002415549531775999	
n50	0.002328898914225327	
n66	0.00227764424099308	
n336	0.0021204482559712737	
n55	0.00204342028664455	
n194	0.002035895369671795	
n43	0.002025856718507439	
n1	0.0020137783305542423	
n34	0.00191961064899744	
n332	0.0018616685805107054	
n31	0.0018572572106407982	
n193	0.0018334705058342781	
n331	0.001820890028995513	
n438	0.001756953431794745	
n383	0.0016968647921840527	
n48	0.0016810630539419963	
n45	0.0016804008931210676	
n203	0.0015605999276917153	
n286	0.0015384484500508269	
n186	0.001535722715322024	
n428	0.0015263902232527254	
n181	0.0014905827325737975	
n0	0.0014905766860853244	
n67	0.001459312279280375	
n54	0.0014549558919038435	
n184	0.0013869234704402867	
n187	0.0013449392792828465	
n334	0.001325982933127316	
n53	0.0012518789453889886	
n51	0.0012429086250827404	
n120	0.001205758668051571	
n68	0.0012010194927193946	
n447	0.0011842667568491834	
n206	0.0011757312533488603	
n176	0.0011515075451841523	
n102	0.0011232280635448777	
n370	0.0011115455340708162	
n60	0.0010938336475270654	
n7	0.0010513890517623553	
n207	0.0010496395489999625	
n44	0.0010426757170012857	
n56	0.0010320589078372316	
n276	0.0010309536626129502	
n178	0.0010305670587938776	
